institution.displayName,institution.state,institution.city,institution.isPublic,ranking.sortRank,searchData.tuition.rawValue
Abilene Christian University,TX,Abilene,True,320.0,42380.0
Abraham Baldwin Agricultural College,GA,Tifton,True,57.0,10071.0
Academy of Art University,CA,San Francisco,True,,32460.0
Adams State University,CO,Alamosa,True,99.0,21848.0
Adelphi University,NY,Garden City,True,163.0,47290.0
Adrian College,MI,Adrian,True,29.0,40556.0
AdventHealth University,FL,Orlando,True,,20340.0
Agnes Scott College,GA,Decatur,True,63.0,48150.0
Alabama A&M University,AL,Normal,True,98.0,18634.0
Alabama State University,AL,Montgomery,True,,19396.0
Alaska Pacific University,AK,Anchorage,True,28.0,20760.0
Albany College of Pharmacy and Health Sciences,NY,Albany,True,,40075.0
Albany State University,GA,Albany,True,100.0,19902.0
Albertus Magnus College,CT,New Haven,True,111.0,39924.0
Albion College,MI,Albion,True,124.0,55746.0
Albizu University,PR,San Juan,True,,7665.0
Albizu University--Miami,FL,Miami,True,,13719.0
Albright College,PA,Reading,True,146.0,28794.0
Alcorn State University,MS,Lorman,True,52.0,8549.0
Alderson Broaddus University,WV,Philippi,True,68.0,33260.0
Alfred State College--SUNY,NY,Alfred,True,8.0,13112.0
Alfred University,NY,Alfred,True,69.0,39530.0
Alice Lloyd College,KY,Pippa Passes,True,34.0,14160.0
Allegheny College,PA,Meadville,True,75.0,54960.0
Allen College,IA,Waterloo,True,,20008.0
Allen University,SC,Columbia,True,,13540.0
Alliance University,NY,New York,True,,27500.0
Alliant International University,CA,San Diego,True,,17130.0
Alma College,MI,Alma,True,7.0,47430.0
Alpena Community College,MI,Alpena,True,,7560.0
Alvernia University,PA,Reading,True,296.0,42810.0
Alverno College,WI,Milwaukee,True,56.0,31858.0
American Academy of Art,IL,Chicago,True,,37670.0
American College of Thessaloniki,,"Thessaloniki, Greece",True,,
American International College,MA,Springfield,True,,40550.0
American Samoa Community College,AS,Pago Pago,True,,5760.0
American University,DC,Washington,True,105.0,56544.0
American University in Bulgaria,,Blagoevgrad 2700,True,,
American University in Cairo,,New Cairo 11835,True,,
American University of Beirut,,"Riad El Solh, Beirut",True,,
American University of Health Sciences,CA,Signal Hill,True,,24575.0
American University of Paris,,Paris,True,,
American University of Puerto Rico--Bayamon,PR,Bayamon,True,81.0,7056.0
American University of Puerto Rico--Manati,PR,Bayamon,True,,7056.0
AmeriTech College-Draper,UT,Draper,True,,22603.0
Amherst College,MA,Amherst,True,2.0,67280.0
Anderson University,SC,Anderson,True,41.0,33570.0
Anderson University (IN),IN,Anderson,True,67.0,35640.0
Andrew College,GA,Cuthbert,True,,19126.0
Andrews University,MI,Berrien Springs,True,320.0,33710.0
Angelo State University,TX,San Angelo,True,72.0,21550.0
Anna Maria College,MA,Paxton,True,,41010.0
Antelope Valley College,CA,Lancaster,True,,7724.0
Antioch College,OH,Yellow Springs,True,100.0,37143.0
Appalachian Bible College,WV,Bradley,True,,18230.0
Appalachian State University,NC,Boone,True,3.0,25077.0
Aquinas College,MI,Grand Rapids,True,156.0,38520.0
Arcadia University,PA,Glenside,True,69.0,47130.0
Arizona Christian University,AZ,Glendale,True,18.0,35047.0
Arizona College of Nursing--Las Vegas,NV,Las Vegas,True,,21653.0
Arizona College of Nursing--Tempe,AZ,Tempe,True,,24000.0
Arizona State University,AZ,Tempe,True,105.0,32193.0
Arkansas Baptist College,AR,Little Rock,True,,8760.0
Arkansas State University,AR,State University,True,361.0,13312.0
Arkansas Tech University,AR,Russellville,True,73.0,17466.0
Art Academy of Cincinnati,OH,Cincinnati,True,,37394.0
ArtCenter College of Design,CA,Pasadena,True,26.0,49942.0
Art Institute of Atlanta,GA,Atlanta,True,,20794.0
Art Institute of Houston,TX,Houston,True,41.0,20794.0
Asbury University,KY,Wilmore,True,24.0,33640.0
Ashland University,OH,Ashland,True,35.0,28910.0
Aspen University,CO,Phoenix,True,,5355.0
Assumption University,MA,Worcester,True,54.0,49414.0
Atenas College,PR,Manati,True,,8198.0
Atlanta Metropolitan State College,GA,Atlanta,True,,9731.0
Auburn University,AL,Auburn,True,93.0,33944.0
Auburn University at Montgomery,AL,Montgomery,True,63.0,25000.0
Augsburg University,MN,Minneapolis,True,17.0,42064.0
Augustana College,IL,Rock Island,True,100.0,49834.0
Augustana University,SD,Sioux Falls,True,17.0,39190.0
Augusta University,GA,Augusta,True,332.0,22270.0
Aultman College of Nursing and Health Sciences,OH,Canton,True,,19310.0
Aurora University,IL,Aurora,True,303.0,27420.0
Austin College,TX,Sherman,True,93.0,46025.0
Austin Community College District,TX,,True,,10590.0
Austin Peay State University,TN,Clarksville,True,33.0,14305.0
Ave Maria University,FL,Ave Maria,True,182.0,28224.0
Averett University,VA,Danville,True,15.0,38550.0
Avila University,MO,Kansas City,True,109.0,22390.0
Azusa Pacific University,CA,Azusa,True,236.0,42330.0
Babson College,MA,Babson Park,True,,56032.0
Bacone College,OK,Muskogee,True,,15060.0
Baker College,MI,Owosso,True,,12710.0
Bakersfield College,CA,Bakersfield,True,,9560.0
Baker University,KS,Baldwin City,True,345.0,33800.0
Baldwin Wallace University,OH,Berea,True,6.0,37538.0
Ball State University,IN,Muncie,True,216.0,28766.0
Baptist Bible College,MO,Springfield,True,,15690.0
Baptist College of Florida,FL,Graceville,True,14.0,12450.0
Baptist Health Sciences University,TN,Memphis,True,,13078.0
Baptist Missionary Association Theological Seminary,TX,Jacksonville,True,,8850.0
Barclay College,KS,Haviland,True,48.0,24990.0
Bard College,NY,Annandale on Hudson,True,72.0,60270.0
Bard College at Simon's Rock,MA,Great Barrington,True,32.0,66594.0
Barnard College,NY,New York,True,11.0,66246.0
Barry University,FL,Miami Shores,True,,32500.0
Barton College,NC,Wilson,True,10.0,35600.0
Bates College,ME,Lewiston,True,24.0,63478.0
Bayamon Central University,PR,Bayamon,True,,5594.0
Baylor University,TX,Waco,True,93.0,54844.0
Bay Path University,MA,Longmeadow,True,123.0,37227.0
Bay State College,MA,Boston,True,,2900.0
Beacon College,FL,Leesburg,True,3.0,47110.0
Belhaven University,MS,Jackson,True,,29195.0
Bellarmine University,KY,Louisville,True,280.0,46780.0
Bellevue College,WA,Bellevue,True,,9838.0
Bellevue University,NE,Bellevue,True,,8790.0
Bellin College,WI,Green Bay,True,,21900.0
Bellingham Technical College,WA,Bellingham,True,,5357.0
Belmont Abbey College,NC,Belmont,True,30.0,19500.0
Belmont University,TN,Nashville,True,236.0,41320.0
Beloit College,WI,Beloit,True,86.0,58554.0
